municipio,total_atendimentos,uf,populacao,atendimentos_100k,incoerente,regiao
ABAIARA,231,CE,11965,1930.6310071040534,False,Nordeste
ACARAPE,495,CE,15140,3269.484808454425,False,Nordeste
ACARAU,2368,CE,63556,3725.8480709925107,False,Nordeste
ACOPIARA,1331,CE,54687,2433.85082377896,False,Nordeste
AIUABA,570,CE,17584,3241.5832575068243,False,Nordeste
ALCANTARAS,211,CE,11846,1781.191963531994,False,Nordeste
ALTANEIRA,205,CE,7712,2658.195020746888,False,Nordeste
ALTO SANTO,510,CE,16077,3172.233625676432,False,Nordeste
AMONTADA,1302,CE,44195,2946.034619300826,False,Nordeste
ANTONINA DO NORTE,192,CE,7402,2593.8935422858685,False,Nordeste
APUIARES,219,CE,14742,1485.5514855514855,False,Nordeste
AQUIRAZ,1926,CE,81581,2360.8438239295915,False,Nordeste
ARACATI,772,CE,75392,1023.981324278438,False,Nordeste
ARACOIABA,703,CE,26600,2642.857142857143,False,Nordeste
ARARENDA,206,CE,10983,1875.62596740417,False,Nordeste
ARARIPE,895,CE,21707,4123.093932832727,False,Nordeste
ARATUBA,387,CE,11759,3291.0961816480994,False,Nordeste
ARNEIROZ,163,CE,7848,2076.962283384302,False,Nordeste
ASSARE,549,CE,23537,2332.497769469346,False,Nordeste
AURORA,586,CE,24567,2385.3136321081124,False,Nordeste
BAIXIO,146,CE,6318,2310.857866413422,False,Nordeste
BANABUIU,484,CE,18313,2642.931251023863,False,Nordeste
BARBALHA,967,CE,61662,1568.2267847296553,False,Nordeste
BARREIRA,436,CE,22715,1919.4364957076823,False,Nordeste
BARRO,363,CE,22834,1589.7346062888673,False,Nordeste
BARROQUINHA,654,CE,15069,4340.035835158272,False,Nordeste
BATURITE,805,CE,36127,2228.250339081573,False,Nordeste
BEBERIBE,1445,CE,54315,2660.406885758998,False,Nordeste
BELA CRUZ,864,CE,32851,2630.0569236857323,False,Nordeste
BOA VIAGEM,1387,CE,54680,2536.5764447695683,False,Nordeste
BREJO SANTO,1172,CE,50195,2334.8939137364277,False,Nordeste
CAMOCIM,1452,CE,64147,2263.550906511606,False,Nordeste
CAMPOS SALES,943,CE,27513,3427.4706502380695,False,Nordeste
CANINDE,1618,CE,77484,2088.173042176449,False,Nordeste
CAPISTRANO,421,CE,17830,2361.1890072910824,False,Nordeste
CARIDADE,650,CE,23011,2824.735995828082,False,Nordeste
CARIRE,504,CE,18470,2728.7493232268544,False,Nordeste
CARIRIACU,345,CE,27008,1277.399289099526,False,Nordeste
CARIUS,407,CE,18700,2176.470588235294,False,Nordeste
CARNAUBAL,275,CE,17763,1548.1619095873446,False,Nordeste
CASCAVEL,1494,CE,72706,2054.8510439303495,False,Nordeste
CATARINA,272,CE,21041,1292.7142246090964,False,Nordeste
CATUNDA,255,CE,10410,2449.5677233429396,False,Nordeste
CAUCAIA,2930,CE,368918,794.2144324755094,False,Nordeste
CEDRO,561,CE,25612,2190.379509604873,False,Nordeste
CHAVAL,695,CE,13112,5300.488102501525,False,Nordeste
CHORO,546,CE,13608,4012.3456790123455,False,Nordeste
CHOROZINHO,377,CE,20286,1858.4245292319827,False,Nordeste
COREAU,577,CE,23340,2472.1508140531278,False,Nordeste
CRATEUS,1268,CE,75241,1685.251392193086,False,Nordeste
CRATO,2266,CE,133913,1692.143406540067,False,Nordeste
CROATA,460,CE,18201,2527.3336629855503,False,Nordeste
CRUZ,579,CE,25121,2304.844552366546,False,Nordeste
DEPUTADO IRAPUAN PINHEIRO,88,CE,9698,907.4035883687359,False,Nordeste
ERERE,39,CE,7254,537.6344086021505,False,Nordeste
EUSEBIO,512,CE,55035,930.3170709548469,False,Nordeste
FARIAS BRITO,644,CE,19330,3331.608898085877,False,Nordeste
